QUD-prejacent,QUD-competence,Check,Gender,Age,English
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,29,Yes
(a) Whether Fat Tony is alive,,Yes,Female,30,No
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,60,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,41,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,32,Yes
(a) Whether Fat Tony is alive,,No,Male,27,Yes
(a) Whether Fat Tony is alive,,Yes,Male,67,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,40,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,36,Yes
(a) Whether Fat Tony is alive,,Yes,Male,55,Yes
(a) Whether Fat Tony is alive,,Yes,Male,41,Yes
(a) Whether Fat Tony is alive,,Yes,Male,52,Yes
,(a) Whether Fat Tony is alive,Yes,Male,30,No
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,55,Yes
(a) Whether Fat Tony is alive,,Yes,Female,25,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,24,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,35,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Male,25,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,33,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,34,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,34,Yes
(a) Whether Fat Tony is alive,,Yes,Female,29,Yes
(a) Whether Fat Tony is alive,,Yes,Male,34,Yes
,(a) Whether Fat Tony is alive,Yes,Female,18,No
(a) Whether Fat Tony is alive,,Yes,Male,40,Yes
(a) Whether Fat Tony is alive,,Yes,Male,27,Yes
(a) Whether Fat Tony is alive,,Yes,Female,51,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Female,38,Yes
,(a) Whether Fat Tony is alive,Yes,Male,20,Yes
(a) Whether Fat Tony is alive,,Yes,Male,53,Yes
(a) Whether Fat Tony is alive,,Yes,Female,28,Yes
(a) Whether Fat Tony is alive,,No,Male,28,Yes
,(a) Whether Fat Tony is alive,Yes,Male,42,Yes
(a) Whether Fat Tony is alive,,Yes,Male,44,Yes
(a) Whether Fat Tony is alive,,Yes,Male,49,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,36,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Male,22,Yes
(a) Whether Fat Tony is alive,,Yes,Male,63,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,65,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Female,22,Yes
(a) Whether Fat Tony is alive,,Yes,Male,32,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,44,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,32,Yes
(a) Whether Fat Tony is alive,,Yes,Female,26,Yes
,(a) Whether Fat Tony is alive,Yes,Male,23,Yes
(a) Whether Fat Tony is alive,,Yes,Female,37,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,70,Yes
(a) Whether Fat Tony is alive,,Yes,Female,37,Yes
(a) Whether Fat Tony is alive,,Yes,Male,34,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Female,25,Yes
(a) Whether Fat Tony is alive,,Yes,Female,33,Yes
(a) Whether Fat Tony is alive,,Yes,Female,44,Yes
(b) Whether the initial forensic investigation at the docks was competent,,Yes,Male,33,Yes
,(a) Whether Fat Tony is alive,No,Male,23,Yes
(a) Whether Fat Tony is alive,,Yes,Female,37,Yes
(a) Whether Fat Tony is alive,,Yes,Male,27,Yes
(a) Whether Fat Tony is alive,,Yes,Female,53,Yes
,(b) Whether the initial forensic investigation at the docks was competent,Yes,Male,61,Yes
(a) Whether Fat Tony is alive,,Yes,Female,53,Yes
(a) Whether Fat Tony is alive,,Yes,Female,35,Yes
,(a) Whether Fat Tony is alive,No,,,
