QUD-prejacent,QUD-competence,Check,Gender,Age,English
"(a) ""No, it's not""",,Yes,Female,25,Yes
,"(b) ""Yes, it is""",Yes,Female,55,Yes
"(b) ""Yes, it is""",,Yes,Female,66,Yes
,"(b) ""Yes, it is""",Yes,Male,37,No
"(b) ""Yes, it is""",,Yes,Male,44,Yes
"(a) ""No, it's not""",,Yes,Male,36,Yes
,"(b) ""Yes, it is""",Yes,Female,29,Yes
"(a) ""No, it's not""",,Yes,Female,47,No
"(a) ""No, it's not""",,Yes,Female,48,Yes
"(b) ""Yes, it is""",,Yes,Male,47,No
"(a) ""No, it's not""",,Yes,Male,39,Yes
"(a) ""No, it's not""",,Yes,Female,64,Yes
,"(b) ""Yes, it is""",Yes,Male,19,Yes
,"(a) ""No, it's not""",Yes,Male,32,Yes
"(b) ""Yes, it is""",,Yes,Female,36,Yes
"(a) ""No, it's not""",,,,,
,"(b) ""Yes, it is""",Yes,,,
"(b) ""Yes, it is""",,Yes,Female,50,Yes
,"(b) ""Yes, it is""",Yes,,,
"(a) ""No, it's not""",,Yes,,,
,"(b) ""Yes, it is""",,,,
